DateID,FullDate,Year,Month,Quarter
9,02-Sep-23,2023,9,Q3
41,03-Sep-22,2022,9,Q3
48,10-Sep-23,2023,9,Q3
67,11-Sep-21,2021,9,Q3
71,29-Sep-22,2022,9,Q3
78,18-Sep-21,2021,9,Q3
87,15-Sep-15,2015,9,Q3
109,22-Sep-21,2021,9,Q3
115,13-Sep-20,2020,9,Q3
133,12-Sep-15,2015,9,Q3
145,23-Sep-16,2016,9,Q3
150,14-Sep-19,2019,9,Q3
162,09-Sep-22,2022,9,Q3
173,11-Sep-17,2017,9,Q3
176,24-Sep-15,2015,9,Q3
207,18-Sep-17,2017,9,Q3
222,28-Sep-19,2019,9,Q3
232,11-Sep-24,2024,9,Q3
245,25-Sep-19,2019,9,Q3
251,02-Sep-22,2022,9,Q3
254,24-Sep-15,2015,9,Q3
262,01-Sep-21,2021,9,Q3
263,24-Sep-24,2024,9,Q3
279,20-Sep-20,2020,9,Q3
284,05-Sep-21,2021,9,Q3
286,24-Sep-16,2016,9,Q3
314,23-Sep-22,2022,9,Q3
328,18-Sep-17,2017,9,Q3
331,14-Sep-24,2024,9,Q3
350,13-Sep-15,2015,9,Q3
357,10-Sep-23,2023,9,Q3
363,19-Sep-23,2023,9,Q3
381,20-Sep-24,2024,9,Q3
390,23-Sep-15,2015,9,Q3
397,26-Sep-19,2019,9,Q3
420,27-Sep-21,2021,9,Q3
446,30-Sep-24,2024,9,Q3
448,17-Sep-19,2019,9,Q3
465,16-Sep-15,2015,9,Q3
471,23-Sep-21,2021,9,Q3
472,05-Sep-17,2017,9,Q3
510,22-Sep-16,2016,9,Q3
511,05-Sep-16,2016,9,Q3
513,23-Sep-15,2015,9,Q3
527,25-Sep-16,2016,9,Q3
538,07-Sep-24,2024,9,Q3
552,10-Sep-15,2015,9,Q3
561,26-Sep-15,2015,9,Q3
577,05-Sep-23,2023,9,Q3
578,27-Sep-21,2021,9,Q3
590,22-Sep-24,2024,9,Q3
606,29-Sep-17,2017,9,Q3
612,10-Sep-17,2017,9,Q3
620,04-Sep-22,2022,9,Q3
630,09-Sep-19,2019,9,Q3
669,21-Sep-20,2020,9,Q3
671,19-Sep-18,2018,9,Q3
673,07-Sep-23,2023,9,Q3
675,23-Sep-24,2024,9,Q3
687,11-Sep-24,2024,9,Q3
695,11-Sep-22,2022,9,Q3
702,23-Sep-23,2023,9,Q3
709,27-Sep-17,2017,9,Q3
719,19-Sep-18,2018,9,Q3
740,11-Sep-15,2015,9,Q3
747,22-Sep-21,2021,9,Q3
749,05-Sep-19,2019,9,Q3
751,05-Sep-18,2018,9,Q3
769,26-Sep-20,2020,9,Q3
795,04-Sep-15,2015,9,Q3
801,30-Sep-21,2021,9,Q3
815,01-Sep-23,2023,9,Q3
816,13-Sep-20,2020,9,Q3
845,11-Sep-21,2021,9,Q3
846,14-Sep-18,2018,9,Q3
856,12-Sep-24,2024,9,Q3
861,03-Sep-15,2015,9,Q3
864,21-Sep-17,2017,9,Q3
885,23-Sep-15,2015,9,Q3
914,09-Sep-16,2016,9,Q3
