ProductID,ProductName,Category,SubCategory
5,Google Pixel 7,Technology,Phones
41,Google Pixel 7,Technology,Phones
63,Google Pixel 7,Technology,Phones
85,Google Pixel 7,Technology,Phones
89,Google Pixel 7,Technology,Phones
111,Google Pixel 7,Technology,Phones
138,Google Pixel 7,Technology,Phones
228,Google Pixel 7,Technology,Phones
238,Google Pixel 7,Technology,Phones
247,Google Pixel 7,Technology,Phones
303,Google Pixel 7,Technology,Phones
326,Google Pixel 7,Technology,Phones
331,Google Pixel 7,Technology,Phones
349,Google Pixel 7,Technology,Phones
363,Google Pixel 7,Technology,Phones
367,Google Pixel 7,Technology,Phones
448,Google Pixel 7,Technology,Phones
476,Google Pixel 7,Technology,Phones
485,Google Pixel 7,Technology,Phones
488,Google Pixel 7,Technology,Phones
598,Google Pixel 7,Technology,Phones
601,Google Pixel 7,Technology,Phones
656,Google Pixel 7,Technology,Phones
703,Google Pixel 7,Technology,Phones
719,Google Pixel 7,Technology,Phones
770,Google Pixel 7,Technology,Phones
814,Google Pixel 7,Technology,Phones
880,Google Pixel 7,Technology,Phones
901,Google Pixel 7,Technology,Phones
912,Google Pixel 7,Technology,Phones
1003,Google Pixel 7,Technology,Phones
1005,Google Pixel 7,Technology,Phones
1012,Google Pixel 7,Technology,Phones
1016,Google Pixel 7,Technology,Phones
1044,Google Pixel 7,Technology,Phones
1048,Google Pixel 7,Technology,Phones
1096,Google Pixel 7,Technology,Phones
1184,Google Pixel 7,Technology,Phones
1189,Google Pixel 7,Technology,Phones
1218,Google Pixel 7,Technology,Phones
1234,Google Pixel 7,Technology,Phones
1242,Google Pixel 7,Technology,Phones
1261,Google Pixel 7,Technology,Phones
1304,Google Pixel 7,Technology,Phones
1402,Google Pixel 7,Technology,Phones
1459,Google Pixel 7,Technology,Phones
1470,Google Pixel 7,Technology,Phones
1506,Google Pixel 7,Technology,Phones
1516,Google Pixel 7,Technology,Phones
1540,Google Pixel 7,Technology,Phones
1561,Google Pixel 7,Technology,Phones
1582,Google Pixel 7,Technology,Phones
1603,Google Pixel 7,Technology,Phones
1609,Google Pixel 7,Technology,Phones
1618,Google Pixel 7,Technology,Phones
1628,Google Pixel 7,Technology,Phones
1655,Google Pixel 7,Technology,Phones
1667,Google Pixel 7,Technology,Phones
1688,Google Pixel 7,Technology,Phones
1750,Google Pixel 7,Technology,Phones
1779,Google Pixel 7,Technology,Phones
1787,Google Pixel 7,Technology,Phones
1810,Google Pixel 7,Technology,Phones
1874,Google Pixel 7,Technology,Phones
1907,Google Pixel 7,Technology,Phones
1960,Google Pixel 7,Technology,Phones
1961,Google Pixel 7,Technology,Phones
1994,Google Pixel 7,Technology,Phones
2006,Google Pixel 7,Technology,Phones
2047,Google Pixel 7,Technology,Phones
2074,Google Pixel 7,Technology,Phones
2087,Google Pixel 7,Technology,Phones
2089,Google Pixel 7,Technology,Phones
2110,Google Pixel 7,Technology,Phones
2161,Google Pixel 7,Technology,Phones
2190,Google Pixel 7,Technology,Phones
2192,Google Pixel 7,Technology,Phones
2197,Google Pixel 7,Technology,Phones
2222,Google Pixel 7,Technology,Phones
2288,Google Pixel 7,Technology,Phones
2381,Google Pixel 7,Technology,Phones
2395,Google Pixel 7,Technology,Phones
2419,Google Pixel 7,Technology,Phones
2421,Google Pixel 7,Technology,Phones
2439,Google Pixel 7,Technology,Phones
2456,Google Pixel 7,Technology,Phones
2560,Google Pixel 7,Technology,Phones
2561,Google Pixel 7,Technology,Phones
2582,Google Pixel 7,Technology,Phones
2608,Google Pixel 7,Technology,Phones
2624,Google Pixel 7,Technology,Phones
2636,Google Pixel 7,Technology,Phones
2689,Google Pixel 7,Technology,Phones
2723,Google Pixel 7,Technology,Phones
2741,Google Pixel 7,Technology,Phones
2773,Google Pixel 7,Technology,Phones
2828,Google Pixel 7,Technology,Phones
2875,Google Pixel 7,Technology,Phones
2882,Google Pixel 7,Technology,Phones
2949,Google Pixel 7,Technology,Phones
3032,Google Pixel 7,Technology,Phones
3045,Google Pixel 7,Technology,Phones
3085,Google Pixel 7,Technology,Phones
3091,Google Pixel 7,Technology,Phones
3095,Google Pixel 7,Technology,Phones
3108,Google Pixel 7,Technology,Phones
3124,Google Pixel 7,Technology,Phones
3159,Google Pixel 7,Technology,Phones
3172,Google Pixel 7,Technology,Phones
3175,Google Pixel 7,Technology,Phones
3200,Google Pixel 7,Technology,Phones
3209,Google Pixel 7,Technology,Phones
3270,Google Pixel 7,Technology,Phones
3277,Google Pixel 7,Technology,Phones
3306,Google Pixel 7,Technology,Phones
3317,Google Pixel 7,Technology,Phones
3320,Google Pixel 7,Technology,Phones
3325,Google Pixel 7,Technology,Phones
3329,Google Pixel 7,Technology,Phones
3335,Google Pixel 7,Technology,Phones
3367,Google Pixel 7,Technology,Phones
3368,Google Pixel 7,Technology,Phones
3371,Google Pixel 7,Technology,Phones
3376,Google Pixel 7,Technology,Phones
3401,Google Pixel 7,Technology,Phones
3403,Google Pixel 7,Technology,Phones
3413,Google Pixel 7,Technology,Phones
3442,Google Pixel 7,Technology,Phones
3456,Google Pixel 7,Technology,Phones
3464,Google Pixel 7,Technology,Phones
3507,Google Pixel 7,Technology,Phones
3517,Google Pixel 7,Technology,Phones
3521,Google Pixel 7,Technology,Phones
3531,Google Pixel 7,Technology,Phones
3558,Google Pixel 7,Technology,Phones
3567,Google Pixel 7,Technology,Phones
3624,Google Pixel 7,Technology,Phones
3645,Google Pixel 7,Technology,Phones
3646,Google Pixel 7,Technology,Phones
3651,Google Pixel 7,Technology,Phones
3672,Google Pixel 7,Technology,Phones
3692,Google Pixel 7,Technology,Phones
3739,Google Pixel 7,Technology,Phones
3796,Google Pixel 7,Technology,Phones
3827,Google Pixel 7,Technology,Phones
3844,Google Pixel 7,Technology,Phones
3849,Google Pixel 7,Technology,Phones
3851,Google Pixel 7,Technology,Phones
3857,Google Pixel 7,Technology,Phones
3870,Google Pixel 7,Technology,Phones
3878,Google Pixel 7,Technology,Phones
3892,Google Pixel 7,Technology,Phones
3893,Google Pixel 7,Technology,Phones
3900,Google Pixel 7,Technology,Phones
3901,Google Pixel 7,Technology,Phones
3918,Google Pixel 7,Technology,Phones
